Story_ID,Q,A
1283,valimu vao vari nende si,tsindigiri 
1283,niungira mumahuwa olanyola si,vikombe visavi
1283,bakhola tsikosi tsiauahane si ,mirimo
1283,nibalondehana nende matoke ka mwaka si,khawere
1283,wina vari nende tsindigiri,valimu
1283,bakhola tsikosi tsiaukhane balakhola si,mirimo
1283,nibalondekhana nende matokeo ka mwake si,khawere
1285,imbosi ilomalomera obukhonyi bwa sina,emisala
1285,omusala ni omumero kuaka kurie,murambi
1285,emisala kikhayiranga omuyaka nende omukhula kwa sina,amatsi
1285,sitsakha sia misala sikhonyanga wina,ebisolo
1285,khubera sina tsinyumba tsikuisibwanga mutsingongo,tsingongo etsio tsibula misala
1286,kwali mwaka kwa tsielfu tsinga ,tsibiri
1286,omuruchi wa sialo sia hena yarusia omulango,kenya
1286,vindu sina voosi vemibwa ,ebukuli/mukanisa
1286,elia basungu abali america bakhole si,bafuiranga 
1286,wina akhonye sialo sia kenya ,nyasaye
1286,wina wa sialo sia kenya arusia omulango,omuruchi
1288,buluare bwa korona buatsakira imbeka sina,wuhan
1288,buluare bwa korona bwatsaka mwika sina,2019
1288,kenya yanyola sina omwika kwa 2020,muluare waamberi
1288,abandu bakhoyere khuesaba nibarumikhira sina,sanitaiza
1288,khubera sina ebindu biosi biekalwa,buluare bwa korona buariikho
1288,buluare bwa korona buatsakira hena,wuhan
1289,omundu yarulanga mulukongo lwa abandu ba wina,nyasaye
1289,omundu khasiyande nende sina,omwoyo mulayi
1289,ni wina owakhaya makhua ka khuirusia omundu,muguru
1289,abandu bajamana khukhola endie omundu oyo,khumwirusia
1289,khubera sina olukongo khasilwakhera omundu khaba,yari nende omwoyo mumanu
1292,wina amnangire ,obwibusi
1292,obulayi ola kwanza ena ,oluchendo
1292,oluchendo wawina wari nende tsishida,waye
1292,obevibusi waye yarinda yalola sinyenyanga hukhola si,huvura imutoka
1292,bakhola si kwa mutoka mpaka vamala,vawarinda
1292,oluchendo lwa win alwari nende tsishida ,waye
1292,mwibusi waye yarinda yalola sienya hulola si,huvura mmutoka
1757,sikuli siefwe siri mu kaunti sina,busia
1757,sikuli siefwe siri nende abaana banga,540
1757,sikuli siefwe siri nende stikilasi estiumbakhea endie,etsia makina
1757,sikuli siri nende indalo eya sina,khurima
1757,khubera sina sikuli siefwe siri nende siguri sikhongo,abana babairangamo
1758,sikuli siao silangwa si,dadira
1758,bari valimu banga ,ekhumi 
1758,sikuli siri nende vahana nde ,vasiana 
1758,headmaster alangwalangwa arie,hagain oboya
1758,nende mdidi waye alangwallangwa ,patrick sidakwa
1761,hale hale msatsa nende wira vajamani,muwasi
1761,muhasi yafwala ingubo si,imdayi
1761,musatsa yafwala sira,isuti
1761,vaandu varia si,ikeki
1761,harusi yarinende mahuwa si,maliya
1761,musatsa yafuala sina,isuti
1762,hale hale hwari nende haduyu nde ,rihudu
1762,wina yashira tsimbiro,haduyu
1762,wina abola isolo yosiyosi yashira tsimbiro ,inzofu
1762,haduyu naho nga hari si,hajanja
1762,haduyu havira handi ingira ena,inyimbi
1763,omwana yalira si,masio
1763,omwana yamenya nde wi,mama waye
1763,omwana nde mama batsia ee,munduri
1763,mama waye ari mpaka si,inda yae yoma mana
1763,nasio yakulusia si,muruimbo
1763,mama waye yaria mpaka si ,inda yomamana
1765,omwana yatsia khukenda nende wina,ng'ina
1765,omwana nende ng'ina batsia khukendera wina,senge
1765,senge yabola mbari ingokho ni ya wina,mwana waye
1765,wina yabola mbari amina yeebera ingokho,omusatsa
1765,khubera tsina chifu yaba nende tsisoni,yabona senge
1767,siduyu nende imbwa bamenyanga alala mwesi sina,khare
1767,siduyu yabukula sina eisa yaremera mikhinga kia tsing'ombe,lupanga
1767,siduyu nende imbwa tsiari nende tsing'ombe tsinga,tsinyingi
1767,siduyu siatsia nisiikhala ena,musikuri
1767,khubeera sina imbwa yakhaya khuaya tsing'ombe inyanga mdala,yaboola mbari ijong'ere
1768,hale hale buri nende sina,msherehe
1768,mnyamba yekika si,kunani
1768,kuhu yalalo,risa
1768,lwangu lwangu solanyola ,thihavi
1768,isina kurula yari wa kwanza ,marebo
1768,esina khurula siari sia kwanza,marebo
1769,khare khare khuariyo nende sina,siduyu
1769,siduyu siamenyanga nende wina,kukhu
1769,siduyu siatsa khuraka tsinjugu ena,mundalo
1769,siduyu siakhola sirye tsinjugu tsa khuraka,siaria
1769,khubeera sina bakhuya siduyu,sieba tsinjugu
1774,khale awo bariwo bahana banga ,mlala
1774,yari yamenya nende wina,kukhu
1774,yanavanga tsingeni na avikha si,mapesa 
1774,yahola endio mpaka mapesa ,kahayera 
1774,isina kurula yari wa kwanza,marebo
1774,khale awo bariwo nende si,ochuoli ochuoli
1774,ifisi nende wina varitsingi vamenya,rinani
1774,ifisi nende rinani vari vekisirie humukuiria nivaria sina,vana
1774,saa tsidaru ngatsiola ni vana vahola si,vavuha 
1774,esina khurura siari sia kwanza,marebo
1774,yari yamenya wina,sande kukhu
1774,ifisi nende rinani vari vekisire khumukuru nibaria sina,vana
1774,vuluno mama luria yari arula ena,mndalo
1775,khare khare khuabetsanga nende wina,omukhana
1775,omukhana yakhayanga sina,khusererwa
1775,omwana wabu mukhana yalangibwanga wina,sigufu
1775,abatseni beetsa yena,mungo
1775,sigufu yalanga endie mukhana wabu,yamwimbira olwimbo
1777,hale hale hwario nende si,ochuoli ochuoli
1777,ifisi nende wina varistingi vamenya ,rinani
1777,ifisi nende rinani vari vekisire humukuria nivaria sina,vana
1777,saa tsidaru ngatsiola ni vana vahola si,vavuha
1777,vuluno mama uria yari arula ena,mndalo
1777,ifisi nende rinani vari vekisire khumukuru nibaria sina ,vana
1778,mkhana yalangwa mbu wi,rosie
1778,yari yamenya sa sina ,ngakukhulungene
1778,mkhana yaola sa mukilasi si,khusasaba
1778,yatsia hukusia ,maremwa
1778,nivarereva ngakukhulungene si,tsing'ombe
1778,yari yamenya nende wi,ngakukhulungene
1778,yatsia khukusia sina,maremwa
1783,hale hale hwario nende wi,muhasi
1783,naatsia waye naharutsia nende si,mwiko
1783,avetsanga yehale ena ,muliango kwaye
1783,mkhasi yadumanga si,ichumbi
1783,omuhasi oyo hariyarisia vandu vangi ena,msialo
1787,khare khare khuario nende isolo sina,isimba
1787,isolo sina eyari nende omwana wayo,ing'ombe
1787,mwana wa ing'ombe neende omwana wa isimba bari nibakhola sina,nibabaya
1787,ing'ombe yaborera omwana wayo khutsia ena,esialo sindi
1787,khubeera sina omwana wa ing'ombe yatsoma omwana wa isimba,bari nibabayanga
1792,hale hale wari nende wina ,wanjofu
1792,mumwalo vesave vatsia ena ,mumwalo
1792,bambolere akalukhe sina nde inyama,vilai
1792,wanjofu ari arila sina nde inyama ,vusuma
1792,wina akalukhe navukeni nanyola wanjofu amalire kula,wajolijali
1792,wina yakaruha nanyola wanjofu amarire khuria bukeni,wajolijali
1805,inyanga ndala mama yakova a wina waye,senge
1805,oyo ajama khukhola sina senge ,kuria
1805,inyanga ndala akhola si lwangu,aria
1805,mwana alarera si,madumwa
1805,huvera yowa wajama kudong'a ena,husideru
1805,khuvera ewe wajama khudong'a ene ,husideru
1806,hale awo ni siri indie,indidi
1806,ahamanya nde iwna waye,kuhu
1806,natsia mshughuli akirana nde wi,msatsa ari nende mapesa 
1806,ndamenya naye mpaka amala si,muskuli
1806,kuhuri yabola wina ni mulai,were
1806,natsia mushuguli akalukhange nende wi,msatsa wa mapesa 
1811,msungu wange arinde sirenge silala,ovwova
1811,iroho yange irereranga mumavwa,rinanasi
1811,inyumba yange iuma ridirisha ,ribuyu
1811,mlima kuri nende misala kia rateng ,murwe
1811,hasunguha hakingire indovu,ireli
1811,ingokho yange ireranga mumawa ,rinanasi
1813,nyanga ndala abere akhole si ,asangale sana
1813,ibere inyanga si ,krismasi
1813,abere angasirikie wina,mkhana
1813,nibachaka hukenda nibahuba si,istori
1813,kuhu ari adehere sina,omena nde vusuma
1814,omwandiki ni omwana wa bandu sina,abalukhya
1814,omwandiki alulanga ena,dadira
1814,omuandiki yanyola amatongolo naatsa ena,khusia
1814,mama yalama khu wina,nyasaye
1814,khubeera sina mama yauka lukaru ,omwandiki yari naadorere amapesa mangi
1815,inyanga ndala ndari nikhorere sina,ninjibulwe
1815,ndari ngorirwe mbari khuri nende sina,amapesa
1815,ni wina owatsia khudekha,mukhana wefwe
1815,ndari ngoribwe mbari nyinyikhana njie ena,musikuli
1815,khubera tsina ndaba ningoribwe mbari khubula amapesa,ndari niisiri mudidi
1817,khare khuario nende wina,mufalume
1817,mufalume yaba nende wina,mukhasi waye
1817,mufalume yalula nende abarindi bikha sina,itsuri
1817,mufalume yari niyeekhale ena nede barindi baye,mubueru
1817,mukeni yeetsa khukhola sina owa mufalume,khukoonya mirimo
3329,khuaberesibwa olumarachi nende wina,nyasaye
3329,khualongibwa nende wina,nyasaye
3329,olumarachi luachakisibwa nende wina,abakuka befwe
3329,noosoma onyala khunyola sina,mirimo
3329,khubera sina ndakhasomere ndaba mukhongo owa lumarachi,khansindakhaluibirara dawe
3330,khumeera nangwa wina,phyllis wasande
3330,ndula lukongo sina,nyapera
3330,owimbo lukhare luabolanga mbari sina,olumbe chokora
3330,tsisolo  stiario bikha sina,khare khare
3330,khubeera sina ndajama lumarachi,abeebusi bange ni bamarachi
3332,mukhana yalidekha ena,mumanoni
3332,mkhnana atsia ohunava nde si,avasie
3332,mkhana anzivirire si,isimbi
3332,mkhasi abukule si,isuenene
3332,baadila ni banyola ni si ,nivisiro
3337,khumera nangwa wina,mosx omox
3337,somanga musisomero sina,bukati
3337,somanga musisomero sina,bukati
3337,mwalimu wefu owa sayansi arulanga ena,butula
3337,khubera sina khueyanga tsikilasi,khube nende bufai khumubiri
3337,nomanomanga lusungo sina,olumarachi
3337,mosx omox ari nende emiika kinga,ekhumi nende kidaru
3337,ndi nende emiika kinga,ekhumi nende kidaru
3337,mwalimu wefu wa ikilasi alanwa wina,perx mulx
3337,khubeera tsina ndeenya khusoma nende amaani,khunyola maksi mia tsine nibidinyu
3338,"olumarachi ni sindu sia ,du ahoere ",alomalome
3338,mzee waye ajama huruka si ,aina ya tsiolo
3338,esie nende abandu ba ingo khumanyikhe nende erira sina,onyango
3338,inzofu yaliikonere ena,asiwa musala mayifu
3338,khubera sina abamarachi bakhera ebisolo,bibarereranga inganga
3338,olumarachi ni sindu sia mundu akhoyere akhole sina,alomalome
3338,omumarachi anyola sina khurula khu tsingokho,amabuyu
3338,tsisolo tsirie tsimala huhula,tsinendi
3338,ingokho ikusubuanga tsishilingi tsinga,makhumi imia nende esindu
3338,maranga ahaire kukola si eria,kuharalo
3341,ndeebulwa mulukongo sina,ebumarachi
3341,khare khwari nende orusolo runga,rubiri
3341,orusolo rwamenyaga ena,musino
3341,abana ba ifisi beebanga sina,amabere
3341,khubeera sina ifisi yiira ng'ina,siduyu siamubatsirisia
3344,olumarachi  ni si,lusungo olwa bamarachi
3344,mukaunti si khulinende bamarachi bangi,busia
3344,ikaunti ya nairobi ikholere sina kwa bamarachi ,yabajirisia
3344,abamarachi benya khuba si,matajiri
3344,olumarachi ni luluga lwa bandu banga,banji
3344,ikaunti ya nairobi ikhorere sina khu bamarachi,yabajirisia
3345,olumarachi lusungwangwa nende wina,abaluhya
3345,abaluhya balomalomanga olumarachi balulanga ena,ebumarachi
3345,olumarachi lusungwangwa ena,mudala
3345,ena owa baalimu bakhaya abandu khusunga olumarachi,musikuli
3345,mpaka mundu akelerwe endie nde mundu amanya lumarachi ,akesivuwe
3345,olumarachi ni luluya lulomwalomwa nende baluya barulae,vumarachi
3345,ni si hudeha husunga ,vidinyu
3345,alafu handi ndihua si,ndindi
3345,inyala ndala kose tsibiri no si mahua kiasi,odirire
3345,khubera sina omwandiki yakheendesia khulomaloma olumarachi,mwekesi waye yakhaya
3345,inyanga ndla kose tsibiri ni makuawa kiasi,odirire
